X,Y,OBJECTID,Name,Address,Description,Easting,Northing,last_edited_date
173.957788163485702,-41.511475451761299,20200,Mr Asian,21 Alfred Street Blenheim .,Food Premises - Low Risk,1679926,5404019,2017-07-17T00:37:30.000Z
173.88805377609728,-41.528752618239785,20201,Maisie's Beauty Salon,466 New Renwick Road Fairhall .,Hairdresser,1674087,5402163,2017-07-17T00:37:30.000Z
173.97229610203695,-41.222104966893411,20202,Mistletoe Bay Trust,Onahau Road Queen Charlotte Sound / Totaranui .,Camping Ground,1681497,5436131,2017-07-17T00:37:30.000Z
173.968472120493516,-41.503090265525557,20203,Headzone,85 Budge Street Blenheim .,Hairdresser,1680828,5404940,2017-07-17T00:37:30.000Z
174.103462639243389,-41.612617291962273,20204,Ugbrooke Country Estate Limited,152 Ugbrooke Road Redwood Pass .,Food Premises - High Risk,1691939,5392645,2017-07-17T00:37:30.000Z
173.961980390674142,-41.513773345219541,20205,Caltex Main Street,26 Main Street Blenheim .,Food Premises - Low Risk,1680273,5403760,2017-07-17T00:37:30.000Z
174.133317623569724,-41.827789965607074,20206,Flaxbourne Motels Limited,7305 SH 1 Ward .,Camping Ground,1694112,5368723,2017-07-17T00:37:30.000Z
173.825788929560957,-41.508418727681679,20207,Renwick Roadhouse Cafe,61 High Street Renwick .,Food Premises - High Risk,1668914,5404472,2017-07-17T00:37:30.000Z
173.955717443344952,-41.53037191077491,20208,Beyond The Fringe Hair Design - Redwood Village,73 Cleghorn Street Blenheim .,Hairdresser,1679730,5401923,2017-07-17T00:37:30.000Z
173.655350875369521,-41.1117283160591,20209,Okiwi Bay Store Ltd,15 Renata Road Okiwi Bay Croisilles .,Food Premises - Low Risk,1655023,5448633,2017-07-17T00:37:30.000Z
173.966251348107022,-41.513287175343798,20210,Blenheim Night 'n Day,60 Main Street Blenheim .,Food Premises - High Risk,1680630,5403810,2017-07-17T00:37:30.000Z
173.954745685087573,-41.514824436864309,20211,Real Food Grocer,32 Maxwell Road Blenheim .,Food Premises - Low Risk,1679668,5403650,2017-07-17T00:37:30.000Z
173.94554376433473,-41.525646139215276,20212,Showgrounds Store 2004,137 Maxwell Road Blenheim .,Food Premises - Low Risk,1678887,5402457,2017-07-17T00:37:30.000Z
173.942121140995312,-41.534276161765888,20213,The Hospital Store,215 Maxwell Road Blenheim .,Food Premises - High Risk,1678591,5401502,2017-07-17T00:37:30.000Z
173.957232341245458,-41.522550017488925,20214,Tip Top Store,82 Muller Road Blenheim .,Food Premises - High Risk,1679866,5402790,2017-07-17T00:37:30.000Z
174.031933172073423,-41.272010808917784,20215,Parklands Marina Holiday Park,10 Beach Road Waikawa .,Food Premises - Low Risk,1686430,5430533,2017-07-17T00:37:30.000Z
173.826233813070644,-41.507595865705007,20216,Cabello Hair And Beauty,70 High Street Renwick .,Hairdresser,1668952,5404563,2017-07-17T00:37:30.000Z
173.956103467006102,-41.514254705155636,20217,Vogue Salon,20 Maxwell Road Blenheim .,Hairdresser,1679782,5403712,2017-07-17T00:37:30.000Z
173.957053389001629,-41.514471985531834,20218,Beyond The Fringe - Blenheim,9 Scott Street Blenheim .,Hairdresser,1679861,5403687,2017-07-17T00:37:30.000Z
173.935257535329356,-41.509670280183421,20219,Illusions Hair,131 Middle Renwick Road Blenheim .,Hairdresser,1678048,5404240,2017-07-17T00:37:30.000Z
173.942051054056719,-41.53440283748138,20220,Hair Studio @ 217 Limited,217 Maxwell Road Blenheim .,Hairdresser,1678585,5401488,2017-07-17T00:37:30.000Z
173.953991407619498,-41.537718142646398,20221,The Clip Joint,6 Alana Place Blenheim .,Hairdresser,1679577,5401109,2017-07-17T00:37:30.000Z
173.955513162739322,-41.530337579391421,20222,Gibbos Barber Shop,75 B Cleghorn Street Blenheim .,Hairdresser,1679713,5401927,2017-07-17T00:37:30.000Z
173.955538723826379,-41.530445454022981,20223,SOS Hair & Beauty,75 B Cleghorn Street Blenheim .,Hairdresser,1679715,5401915,2017-07-17T00:37:30.000Z
173.951562880867669,-41.511887421916121,20224,Solutions '93 Hair Salon,135 High Street Blenheim .,Hairdresser,1679406,5403979,2017-07-17T00:37:30.000Z
173.955344145621211,-41.514774430401886,20225,Hair By Kardos,28 Maxwell Road Blenheim .,Hairdresser,1679718,5403655,2017-07-17T00:37:30.000Z
173.955942242556034,-41.512256429595098,20226,Prestige,48 Market Street Blenheim .,Hairdresser,1679771,5403934,2017-07-17T00:37:30.000Z
174.007992420275059,-41.289706708030089,20227,Sandy's Hair Design,21 Wellington Street Picton .,Hairdresser,1684402,5428592,2017-07-17T00:37:30.000Z
173.766557286725771,-41.338434430955495,20228,Waves Campsite,3389 SH 6 Havelock Rural .,Camping Ground,1664138,5423389,2017-07-17T00:37:30.000Z
173.941284055404253,-41.270806020682677,20229,Momorangi Bay Camping Ground,1998 Queen Charlotte Drive Grove Arm .,Camping Ground,1678839,5430753,2017-07-17T00:37:30.000Z
173.954934438274535,-41.457518297482522,20230,Spring Creek Holiday Park,1199 Rapaura Road Spring Creek Rural .,Camping Ground,1679754,5410012,2017-07-17T00:37:30.000Z
173.768260553798342,-41.278918543995111,20231,Havelock Holiday Park,Havelock Quay Havelock .,Camping Ground,1664339,5429995,2017-07-17T00:37:30.000Z
173.655064951951061,-41.11172093415292,20232,Okiwi Bay Holiday Park & Lodge,15 Renata Road Okiwi Bay Croisilles .,Camping Ground,1654999,5448634,2017-07-17T00:37:30.000Z
173.961562041057448,-41.503319387227975,20233,Blenheim Motor Camp & Backpackers Ltd,27 Budge Street Blenheim .,Camping Ground,1680251,5404921,2017-07-17T00:37:30.000Z
173.961384848532504,-41.501870694407586,20234,Blenheim Bridge Top 10 Holiday Park,78 Grove Road Blenheim .,Camping Ground,1680238,5405082,2017-07-17T00:37:30.000Z
174.040766443479328,-41.270390984610991,20235,Waikawa Bay Caravan Park,Waimarama Street Waikawa .,Camping Ground,1687172,5430704,2017-07-17T00:37:30.000Z
174.031870930758828,-41.271849229682729,20236,Parklands Marina Holiday Park,10 Beach Road Waikawa .,Camping Ground,1686425,5430551,2017-07-17T00:37:30.000Z
174.014442856319988,-41.289028517562443,20237,Picton Top 10 Holiday Park,70 Waikawa Road Picton .,Camping Ground,1684943,5428661,2017-07-17T00:37:30.000Z
174.001132124862494,-41.295612510087068,20238,Picton Campervan Park,42 Kent Street Picton .,Camping Ground,1683820,5427943,2017-07-17T00:37:30.000Z
174.005298194088653,-41.29857572849977,20239,Alexanders Holiday Park,Cambridge Terrace Picton .,Camping Ground,1684165,5427610,2017-07-17T00:37:30.000Z
